Reference, Quantity, Value, MPN, LCSC, Field4, Field5, Field6, Field7, Field8
B1 ,1,OI_Logo,,,,,,,
BT1 ,1,Battery_Cell,B2B-PH-SM4-TB(LF)(SN),C160352,,,,,
C14 C9 ,2,10u,,,,,,,
C16 C17 C25 C26 ,4,10p,,,,,,,
C2 ,1,47u 16V,EEEFK1C470UR,C178535,,,,,
C10 C11 C15 C18 C19 C20 C21 C5 C6 ,9,100n,,,,,,,
C1 C22 C24 C3 ,4,1u,,,,,,,
C12 C23 ,2,10n,,,,,,,
C4 C7 C8 ,3,4u7,,,,,,,
D1 ,1,MBR120,MBR120ESFT1G,,,,,,
D3 ,1,LED_red,,,,,,,
D4 ,1,LED_green,,,,,,,
D5 ,1,LED_blue,,,,,,,
D6 ,1,D_TVS_x2_AAC,PESD2IVN27-UX,,,,,,
D7 ,1,LED_ABRG,150141M173100,,,,,,
FB1 FB2 ,2,Ferrite_Bead,BLM15HD102SN1D,,,,,,
FID1 FID2 FID3 ,3,Fiducial,,,,,,,
H1 ,1,MountingHole_Pad,,,,,,,
H2 ,1,OIBUS_12.1_CONN,PHF254TH2x6,,,,,,
J1 ,1,Conn_01x04_Female,110990037,1125R-4p,NOTE: MPN is for 10 pieces!,,,,
J2 ,1,USB_B_Micro,1050170001,C10418,,,,,
J3 ,1,uavcan_5pins,530480510,,,,,,
J4 ,1,Conn_01x02_Female,,,,,,,
L1 ,1,4u7,VLS3015ET-4R7M,,,,,,
L2 ,1,10uH,"MLZ2012M100WT000

",,,,,,
P1 ,1,TC2030-MCP,,,,,,,
Q1 ,1,DMG3415U-7,DMG3415U-7,,,,,,
Q2 Q3 ,2,NMOS,ZXMN3F30FHTA,,,,,,
R10 R11 R12 R18 ,4,4.7k,,,,,,,
R14 R15 R16 ,3,1k,,,,,,,
R17 ,1,2k7,,,,,,,
R19 R20 ,2,60R,,,,,,,
R2 ,1,2k,,,,,,,
R21 ,1,DNP,,,,,,,
R13 R3 ,2,430R,,,,,,,
R5 ,1,976k,,,,,,,
R1 R6 ,2,100k,,,,,,,
R4 R7 ,2,309k,,,,,,,
R8 R9 ,2,330R,,,,,,,
SW1 ,1,SW_Push,,,,,,,
U1 ,1,AP2112K-3.3,AP2112K-3.3TRG1,,,,,,
U10 ,1,TPD3E001DRLR,TPD3E001DRLR,,,,,,
U2 ,1,SAM-M8Q,SAM-M8Q-0-10,,u-Blox M8 Gnss Antenna Module,Unavailable,None,U-Blox America,SMD-20 U-Blox America
U3 ,1,NINA-B311-00B,NINA-B311-00B,,BLUETOOTH LOW ENERGY MODULE STAN,Unavailable,None,U-Blox America Inc.,SMD-55 U-Blox America Inc.
U4 ,1,MCP73831-2-OT,MCP73831T-2ATI/OT,,,,,,
U5 ,1,MCP1624T,MCP1624T-I/CHY,,,,,,
U6 ,1,SHT31-DIS-B,SHT31-DIS-B,,Sensirion AG,None,Unavailable,TDFN-8 Sensirion,SHT31-DIS-B
U7 ,1,TCAN330,"TCAN330DCNT
",,,,,,
U8 ,1,STM32F303CCTx,"STM32F303CCT6
",,,,,,
U9 ,1,DW01C-G,DW01C-G,,,,,,
Y1 ,1,16M,XXBBBCNANF-16M,,,,,,
Y2 ,1,32kHz,SC32S-7PF20PPM,C97604,,,,,
